FIPS,c,s,m15,mdf,mx14,mxdf,m
13227,Pickens County,Ga.,3000,0,10000,800,5000
13229,Pierce County,Ga.,4000,0,10000,3000,6000
13231,Pike County,Ga.,3000,0,10000,3000,5000
13233,Polk County,Ga.,3000,-1000,10000,1500,5200
13235,Pulaski County,Ga.,4000,0,10000,3000,6000
13237,Putnam County,Ga.,4000,0,10000,3000,6000
13239,Quitman County,Ga.,4000,0,10000,3000,6000
13241,Rabun County,Ga.,3000,-1000,10000,2000,5200
13243,Randolph County,Ga.,4000,0,10000,3000,6000
13245,Richmond County,Ga.,4000,0,10000,1500,6400
13247,Rockdale County,Ga.,3000,0,10000,1500,6000
13249,Schley County,Ga.,4000,0,10000,3000,6000
13251,Screven County,Ga.,4000,0,10000,1500,6400
13253,Seminole County,Ga.,4000,0,10000,3000,6000
13255,Spalding County,Ga.,3000,0,10000,1500,6000
13257,Stephens County,Ga.,3000,-1000,10000,2000,5200
13259,Stewart County,Ga.,4000,0,10000,1500,6400
13261,Sumter County,Ga.,4000,0,10000,3000,6000
13263,Talbot County,Ga.,4000,1000,10000,1500,6000
13265,Taliaferro County,Ga.,4000,0,10000,1500,6400
13267,Tattnall County,Ga.,4000,0,10000,1500,6400
13269,Taylor County,Ga.,4000,0,10000,3000,6000
13271,Telfair County,Ga.,4000,0,10000,3000,6000
13273,Terrell County,Ga.,4000,0,10000,3000,6000
13275,Thomas County,Ga.,4000,0,10000,3000,6000
13277,Tift County,Ga.,4000,0,10000,3000,6000
13279,Toombs County,Ga.,4000,0,10000,3000,6000
13281,Towns County,Ga.,3000,-1000,10000,2000,5200
13283,Treutlen County,Ga.,4000,0,10000,3000,6000
13285,Troup County,Ga.,4000,0,10000,1500,6400
13287,Turner County,Ga.,4000,0,10000,3000,6000
13289,Twiggs County,Ga.,4000,0,10000,1500,6000
13291,Union County,Ga.,3000,-1000,10000,2000,5200
13293,Upson County,Ga.,4000,0,10000,3000,6000
13295,Walker County,Ga.,3000,-1000,10000,2000,5200
13297,Walton County,Ga.,3000,0,10000,1500,6000
13299,Ware County,Ga.,4000,0,10000,3000,6000
13301,Warren County,Ga.,4000,0,10000,1500,6400
13303,Washington County,Ga.,4000,0,10000,1500,6400
13305,Wayne County,Ga.,4000,0,10000,1500,6400
13307,Webster County,Ga.,4000,0,10000,1500,6400
13309,Wheeler County,Ga.,4000,0,10000,3000,6000
13311,White County,Ga.,3000,-1000,10000,2000,5200
13313,Whitfield County,Ga.,3000,-1000,10000,2000,5200
13315,Wilcox County,Ga.,4000,0,10000,3000,6000
13317,Wilkes County,Ga.,4000,0,10000,1500,6400
13319,Wilkinson County,Ga.,4000,0,10000,1500,6400
13321,Worth County,Ga.,4000,0,10000,3000,6000
19001,Adair County,Iowa,4000,0,8000,0,5500
19003,Adams County,Iowa,4000,0,8000,0,5500
19005,Allamakee County,Iowa,4000,0,8000,0,5500
19007,Appanoose County,Iowa,4000,0,8000,0,5500
19009,Audubon County,Iowa,4000,0,8000,0,5500
19011,Benton County,Iowa,4000,0,8000,0,5500
19013,Black Hawk County,Iowa,4000,0,8000,0,5500
19015,Boone County,Iowa,4000,0,8000,0,5500
19017,Bremer County,Iowa,4000,0,8000,0,5500
19019,Buchanan County,Iowa,4000,0,8000,0,5500
19021,Buena Vista County,Iowa,4000,0,8000,0,5500
19023,Butler County,Iowa,4000,0,8000,0,5500
19025,Calhoun County,Iowa,4000,0,8000,0,5500
19027,Carroll County,Iowa,4000,0,8000,0,5500
19029,Cass County,Iowa,4000,0,8000,0,5500
19031,Cedar County,Iowa,4000,0,8000,0,5500
19033,Cerro Gordo County,Iowa,4000,0,8000,0,5500
19035,Cherokee County,Iowa,4000,0,8000,0,5500
19037,Chickasaw County,Iowa,4000,0,8000,0,5500
19039,Clarke County,Iowa,4000,0,8000,0,5500
19041,Clay County,Iowa,4000,1000,8000,0,5000
19043,Clayton County,Iowa,4000,0,8000,0,5500
19045,Clinton County,Iowa,4000,0,8000,0,5500
19047,Crawford County,Iowa,4000,0,8000,0,5500
19049,Dallas County,Iowa,4000,0,8000,0,5500
19051,Davis County,Iowa,4000,0,8000,0,5500
19053,Decatur County,Iowa,4000,0,8000,0,5500
19055,Delaware County,Iowa,4000,0,8000,0,5500
19057,Des Moines County,Iowa,4000,0,8000,0,5500
19059,Dickinson County,Iowa,4000,1000,8000,0,5000
19061,Dubuque County,Iowa,4000,0,8000,0,5500
19063,Emmet County,Iowa,4000,1000,8000,0,5000
19065,Fayette County,Iowa,4000,0,8000,0,5500
19067,Floyd County,Iowa,4000,0,8000,0,5500
19069,Franklin County,Iowa,4000,0,8000,0,5500
19071,Fremont County,Iowa,4000,0,8000,0,5500
19073,Greene County,Iowa,4000,0,8000,0,5500
19075,Grundy County,Iowa,4000,0,8000,0,5500
19077,Guthrie County,Iowa,4000,0,8000,0,5500
19079,Hamilton County,Iowa,4000,0,8000,0,5500
19081,Hancock County,Iowa,4000,0,8000,0,5500
19083,Hardin County,Iowa,4000,0,8000,0,5500
19085,Harrison County,Iowa,4000,0,8000,0,5500
19087,Henry County,Iowa,4000,0,8000,0,5500
19089,Howard County,Iowa,4000,0,8000,0,5500
19091,Humboldt County,Iowa,4000,0,8000,0,5500
19093,Ida County,Iowa,4000,0,8000,0,5500
19095,Iowa County,Iowa,4000,0,8000,0,5500
19097,Jackson County,Iowa,4000,0,8000,0,5500
19099,Jasper County,Iowa,4000,0,8000,0,5500
19101,Jefferson County,Iowa,4000,0,8000,0,5500
19103,Johnson County,Iowa,4000,0,8000,0,5500
19105,Jones County,Iowa,4000,0,8000,0,5500
19107,Keokuk County,Iowa,4000,0,8000,0,5500
19109,Kossuth County,Iowa,4000,0,8000,0,5500
19111,Lee County,Iowa,4000,0,8000,0,5500
19113,Linn County,Iowa,4000,0,8000,0,5500
19115,Louisa County,Iowa,4000,0,8000,0,5500
19117,Lucas County,Iowa,4000,0,8000,0,5500
