FIPS,c,s,sf
20033,Comanche County,Kan.,5745
20035,Cowley County,Kan.,5814
20037,Crawford County,Kan.,5745
20039,Decatur County,Kan.,5745
20041,Dickinson County,Kan.,5814
20043,Doniphan County,Kan.,5745
20045,Douglas County,Kan.,5814
20047,Edwards County,Kan.,5745
20049,Elk County,Kan.,5814
20051,Ellis County,Kan.,5814
20053,Ellsworth County,Kan.,5814
20055,Finney County,Kan.,5745
20057,Ford County,Kan.,5745
20059,Franklin County,Kan.,5745
20061,Geary County,Kan.,5745
20063,Gove County,Kan.,5745
20065,Graham County,Kan.,5745
20067,Grant County,Kan.,5745
20069,Gray County,Kan.,5745
20071,Greeley County,Kan.,5745
20073,Greenwood County,Kan.,5814
20075,Hamilton County,Kan.,5745
20077,Harper County,Kan.,5814
20079,Harvey County,Kan.,5814
20081,Haskell County,Kan.,5745
20083,Hodgeman County,Kan.,5745
20085,Jackson County,Kan.,5745
20087,Jefferson County,Kan.,5745
20089,Jewell County,Kan.,5745
20091,Johnson County,Kan.,6600
20093,Kearny County,Kan.,5745
20095,Kingman County,Kan.,5814
20097,Kiowa County,Kan.,5745
20099,Labette County,Kan.,5745
20101,Lane County,Kan.,5745
20103,Leavenworth County,Kan.,5745
20105,Lincoln County,Kan.,5814
20107,Linn County,Kan.,5745
20109,Logan County,Kan.,5745
20111,Lyon County,Kan.,5745
20115,Marion County,Kan.,5814
20117,Marshall County,Kan.,5745
20113,McPherson County,Kan.,5814
20119,Meade County,Kan.,5745
20121,Miami County,Kan.,5745
20123,Mitchell County,Kan.,5745
20125,Montgomery County,Kan.,5745
20127,Morris County,Kan.,5745
20129,Morton County,Kan.,5745
20131,Nemaha County,Kan.,5745
20133,Neosho County,Kan.,5745
20135,Ness County,Kan.,5745
20137,Norton County,Kan.,5745
20139,Osage County,Kan.,5814
20141,Osborne County,Kan.,5745
20143,Ottawa County,Kan.,5745
20145,Pawnee County,Kan.,5745
20147,Phillips County,Kan.,5745
20149,Pottawatomie County,Kan.,5745
20151,Pratt County,Kan.,5745
20153,Rawlins County,Kan.,5745
20155,Reno County,Kan.,5745
20157,Republic County,Kan.,5745
20159,Rice County,Kan.,5745
20161,Riley County,Kan.,5745
20163,Rooks County,Kan.,5745
20165,Rush County,Kan.,5745
20167,Russell County,Kan.,5814
20169,Saline County,Kan.,5814
20171,Scott County,Kan.,5745
20173,Sedgwick County,Kan.,5814
20175,Seward County,Kan.,5745
20177,Shawnee County,Kan.,5814
20179,Sheridan County,Kan.,5745
20181,Sherman County,Kan.,5745
20183,Smith County,Kan.,5745
20185,Stafford County,Kan.,5745
20187,Stanton County,Kan.,5745
20189,Stevens County,Kan.,5745
20191,Sumner County,Kan.,5814
20193,Thomas County,Kan.,5745
20195,Trego County,Kan.,5745
20197,Wabaunsee County,Kan.,5745
20199,Wallace County,Kan.,5745
20201,Washington County,Kan.,5745
20203,Wichita County,Kan.,5745
20205,Wilson County,Kan.,5745
