FIPS,c,s,bi,bf,si,sf,gi,gf,pi,pf
18183,Whitley County,Ind.,5270,10540,3218,6436,775,1550,,
20001,Allen County,Kan.,6436,12871,2873,5745,1133,2267,,
20003,Anderson County,Kan.,6436,12871,2873,5745,1133,2267,,
20005,Atchison County,Kan.,6436,12871,2873,5745,1133,2267,,
20007,Barber County,Kan.,6436,12871,2873,5745,1133,2267,,
20009,Barton County,Kan.,6436,12871,2873,5745,1133,2267,,
20011,Bourbon County,Kan.,6436,12871,2873,5745,1133,2267,,
20013,Brown County,Kan.,6436,12871,2873,5745,1133,2267,,
20015,Butler County,Kan.,6344,12689,2907,5814,1057,2114,,
20017,Chase County,Kan.,6436,12871,2873,5745,1133,2267,,
20019,Chautauqua County,Kan.,6344,12689,2907,5814,1057,2114,,
20021,Cherokee County,Kan.,6436,12871,2873,5745,1133,2267,,
20023,Cheyenne County,Kan.,6436,12871,2873,5745,1133,2267,,
20025,Clark County,Kan.,6436,12871,2873,5745,1133,2267,,
20027,Clay County,Kan.,6436,12871,2873,5745,1133,2267,,
20029,Cloud County,Kan.,6436,12871,2873,5745,1133,2267,,
20031,Coffey County,Kan.,6436,12871,2873,5745,1133,2267,,
20033,Comanche County,Kan.,6436,12871,2873,5745,1133,2267,,
20035,Cowley County,Kan.,6344,12689,2907,5814,1057,2114,,
20037,Crawford County,Kan.,6436,12871,2873,5745,1133,2267,,
20039,Decatur County,Kan.,6436,12871,2873,5745,1133,2267,,
20041,Dickinson County,Kan.,6344,12689,2907,5814,1057,2114,,
20043,Doniphan County,Kan.,6436,12871,2873,5745,1133,2267,,
20045,Douglas County,Kan.,6344,12689,2907,5814,1057,2114,,
20047,Edwards County,Kan.,6436,12871,2873,5745,1133,2267,,
20049,Elk County,Kan.,6344,12689,2907,5814,1057,2114,,
20051,Ellis County,Kan.,6344,12689,2907,5814,1057,2114,,
20053,Ellsworth County,Kan.,6344,12689,2907,5814,1057,2114,,
20055,Finney County,Kan.,6436,12871,2873,5745,1133,2267,,
20057,Ford County,Kan.,6436,12871,2873,5745,1133,2267,,
20059,Franklin County,Kan.,6436,12871,2873,5745,1133,2267,,
20061,Geary County,Kan.,6436,12871,2873,5745,1133,2267,,
20063,Gove County,Kan.,6436,12871,2873,5745,1133,2267,,
20065,Graham County,Kan.,6436,12871,2873,5745,1133,2267,,
20067,Grant County,Kan.,6436,12871,2873,5745,1133,2267,,
20069,Gray County,Kan.,6436,12871,2873,5745,1133,2267,,
20071,Greeley County,Kan.,6436,12871,2873,5745,1133,2267,,
20073,Greenwood County,Kan.,6344,12689,2907,5814,1057,2114,,
20075,Hamilton County,Kan.,6436,12871,2873,5745,1133,2267,,
20077,Harper County,Kan.,6344,12689,2907,5814,1057,2114,,
20079,Harvey County,Kan.,6344,12689,2907,5814,1057,2114,,
20081,Haskell County,Kan.,6436,12871,2873,5745,1133,2267,,
20083,Hodgeman County,Kan.,6436,12871,2873,5745,1133,2267,,
20085,Jackson County,Kan.,6436,12871,2873,5745,1133,2267,,
20087,Jefferson County,Kan.,6436,12871,2873,5745,1133,2267,,
20089,Jewell County,Kan.,6436,12871,2873,5745,1133,2267,,
20091,Johnson County,Kan.,5089,10178,3300,6600,1200,2400,,
20093,Kearny County,Kan.,6436,12871,2873,5745,1133,2267,,
20095,Kingman County,Kan.,6344,12689,2907,5814,1057,2114,,
20097,Kiowa County,Kan.,6436,12871,2873,5745,1133,2267,,
20099,Labette County,Kan.,6436,12871,2873,5745,1133,2267,,
20101,Lane County,Kan.,6436,12871,2873,5745,1133,2267,,
20103,Leavenworth County,Kan.,6329,12657,2873,5745,1133,2267,,
20105,Lincoln County,Kan.,6344,12689,2907,5814,1057,2114,,
20107,Linn County,Kan.,6436,12871,2873,5745,1133,2267,,
20109,Logan County,Kan.,6436,12871,2873,5745,1133,2267,,
20111,Lyon County,Kan.,6436,12871,2873,5745,1133,2267,,
20115,Marion County,Kan.,6344,12689,2907,5814,1057,2114,,
20117,Marshall County,Kan.,6436,12871,2873,5745,1133,2267,,
20113,McPherson County,Kan.,6344,12689,2907,5814,1057,2114,,
20119,Meade County,Kan.,6436,12871,2873,5745,1133,2267,,
20121,Miami County,Kan.,6329,12657,2873,5745,1133,2267,,
20123,Mitchell County,Kan.,6436,12871,2873,5745,1133,2267,,
20125,Montgomery County,Kan.,6436,12871,2873,5745,1133,2267,,
20127,Morris County,Kan.,6436,12871,2873,5745,1133,2267,,
20129,Morton County,Kan.,6436,12871,2873,5745,1133,2267,,
20131,Nemaha County,Kan.,6436,12871,2873,5745,1133,2267,,
20133,Neosho County,Kan.,6436,12871,2873,5745,1133,2267,,
20135,Ness County,Kan.,6436,12871,2873,5745,1133,2267,,
20137,Norton County,Kan.,6436,12871,2873,5745,1133,2267,,
20139,Osage County,Kan.,6344,12689,2907,5814,1057,2114,,
20141,Osborne County,Kan.,6436,12871,2873,5745,1133,2267,,
20143,Ottawa County,Kan.,6436,12871,2873,5745,1133,2267,,
20145,Pawnee County,Kan.,6436,12871,2873,5745,1133,2267,,
20147,Phillips County,Kan.,6436,12871,2873,5745,1133,2267,,
20149,Pottawatomie County,Kan.,6436,12871,2873,5745,1133,2267,,
20151,Pratt County,Kan.,6436,12871,2873,5745,1133,2267,,
20153,Rawlins County,Kan.,6436,12871,2873,5745,1133,2267,,
20155,Reno County,Kan.,6436,12871,2873,5745,1133,2267,,
20157,Republic County,Kan.,6436,12871,2873,5745,1133,2267,,
20159,Rice County,Kan.,6436,12871,2873,5745,1133,2267,,
20161,Riley County,Kan.,6436,12871,2873,5745,1133,2267,,
20163,Rooks County,Kan.,6436,12871,2873,5745,1133,2267,,
20165,Rush County,Kan.,6436,12871,2873,5745,1133,2267,,
